TAA	TAG	TGA
137.0	912.0	57
45.0	2.0	53
28.0	82.0	195
1.0	496.0	718
62.0	11.0	128
105.0	327.0	1
24.0	9.0	642
13.0	6.0	55
8.0	54.0	78
42.0	12.0	103
53.0		56
10.0		92
80.0		427
1.0		93
153.0		24
126.0		147
56.0		159
163.0		617
59.0		217
76.0		24
679.0		44
20.0		36
34.0		74
51.0		86
39.0		48
384.0		304
15.0		527
48.0		290
9.0		61
12.0		404
109.0		105
122.0		53
234.0		55
53.0		6
84.0		175
31.0		55
48.0		31
142.0		105
21.0		121
588.0		57
15.0		33
133.0		674
8.0		109
27.0		96
118.0		47
761.0		59
50.0		15
22.0		44
185.0		8
203.0		45
35.0		302
5.0		39
6.0		41
37.0		62
29.0		51
162.0		32
26.0		11
355.0		75
17.0		42
30.0		13
211.0		56
7.0		55
10.0		37
18.0		31
51.0		13
156.0		70
274.0		120
126.0		746
146.0		1269
32.0		96
59.0		7
31.0		26
12.0		58
5.0		13
103.0		33
69.0		10
156.0		128
157.0		23
26.0		57
29.0		99
156.0		6
24.0		71
130.0		70
6.0		48
709.0		1
97.0		14
50.0		711
156.0		34
33.0		65
53.0		39
77.0		4
28.0		81
49.0		70
27.0		7
30.0		19
3.0		63
66.0		28
		59
		70
		52
		96
		104
		57
		40
		905
		80
		591
		112
		52
		389
		23
		23
		29
		55
