TAA	TAG	TGA
358.0		12
76.0		68
138.0		205
226.0		21
93.0		213
85.0		105
37.0		203
173.0		151
14.0		151
16.0		8
97.0		30
99.0		58
16.0		60
35.0		145
257.0		171
579.0		341
130.0		76
478.0		130
73.0		23
178.0		246
41.0		77
13.0		12
57.0		42
128.0		56
35.0		32
22.0		142
28.0		30
17.0		64
9.0		94
141.0		739
45.0		344
34.0		22
42.0		34
245.0		19
461.0		52
31.0		15
184.0		68
86.0		605
63.0		347
45.0		73
36.0		43
365.0		102
169.0		18
392.0		124
37.0		4
123.0		118
486.0		143
71.0		389
27.0		17
561.0		9
21.0		8
62.0		541
21.0		5
19.0		324
24.0		204
19.0		2
3.0		260
69.0		189
14.0		437
308.0		260
141.0		108
582.0		150
112.0		155
145.0		19
63.0		15
93.0		180
20.0		380
4.0		7
1.0		7
477.0		147
81.0		43
69.0		23
28.0		181
31.0		72
330.0		13
57.0		213
7.0		32
1039.0		133
378.0		202
98.0		21
355.0		133
11.0		335
782.0		18
25.0		30
41.0		476
85.0		187
318.0		86
27.0		72
144.0		15
49.0		134
60.0		185
107.0		9
609.0		60
821.0		350
31.0		137
113.0		5
32.0		36
25.0		690
207.0		486
277.0		277
255.0		123
194.0		15
7.0		361
249.0		13
147.0		438
13.0		19
3.0		26
65.0		846
5.0		12
947.0		208
46.0		114
29.0		19
138.0		38
39.0		2
16.0		16
187.0		113
119.0		48
31.0		205
140.0		47
6.0		171
231.0		23
12.0		97
64.0		877
125.0		10
171.0		9
42.0		30
152.0		118
18.0		355
35.0		672
70.0		231
564.0		98
18.0		106
14.0		55
70.0		194
41.0		39
13.0		27
166.0		2
405.0		1
27.0		3
210.0		6
228.0		7
4.0		14
181.0		85
96.0		146
31.0		848
38.0		41
65.0		220
10.0		599
24.0		13
91.0		224
6.0		80
121.0		2
205.0		989
65.0		102
166.0		61
73.0		162
206.0		11
37.0		40
51.0		14
443.0		781
23.0		1
19.0		70
1141.0		397
206.0		57
11.0		140
121.0		72
117.0		72
241.0		72
15.0		229
39.0		283
130.0		16
1.0		205
118.0		58
13.0		711
255.0		289
57.0		79
30.0		109
33.0		267
67.0		5
307.0		273
640.0		66
62.0		42
69.0		777
155.0		373
8.0		271
53.0		1187
35.0		311
248.0		209
55.0		107
107.0		27
39.0		311
520.0		190
31.0		115
1.0		1
37.0		21
121.0		22
14.0		29
14.0		16
43.0		13
248.0		4
350.0		19
159.0		60
42.0		22
329.0		28
323.0		178
26.0		212
35.0		262
236.0		203
390.0		20
635.0		290
53.0		26
27.0		26
234.0		609
234.0		78
29.0		424
110.0		84
48.0		6
387.0		286
334.0		3
13.0		910
16.0		25
166.0		15
573.0		193
18.0		134
442.0		199
310.0		283
12.0		155
48.0		14
333.0		21
60.0		546
171.0		116
50.0		30
10.0		256
1.0		238
30.0		523
1229.0		146
52.0		145
13.0		31
662.0		299
31.0		12
50.0		2
11.0		329
7.0		129
10.0		19
17.0		153
4.0		14
361.0		91
4.0		243
361.0		83
11.0		24
164.0		40
		40
		51
		22
		91
		7
		3
		18
		285
		56
		105
		119
		60
		959
		20
		12
		69
		99
		363
		24
		106
		105
		145
		250
		13
		108
		31
		139
		139
		14
		19
		11
		45
		66
		26
		9
		115
		631
		15
		105
		433
		103
		21
		90
		77
		734
		3
		17
		104
		141
		33
		49
		26
		44
		211
		100
		17
		42
		27
		445
		4
		3
		157
		32
		10
		308
		47
		11
		545
		545
		174
		1
		116
		116
		24
		16
		230
		50
		105
		105
		104
		16
		53
		132
		41
		68
		51
		12
		35
		60
		65
		65
		439
		94
		293
		12
		44
		82
		68
		80
		912
		19
		19
		33
		172
		57
		66
		179
		9
		125
		196
		7
		58
		40
		32
		8
		204
		15
		620
		20
		16
		397
		95
		350
		199
		20
		27
		139
		9
		35
		101
		22
		349
		20
		4
		42
		10
		43
		2
		116
		228
		52
		279
		28
		405
		107
		39
		14
		16
		110
		14
		184
		459
		327
		50
