FBtr0255320	TAA	330
FBtr0420194	TAA	1
FBtr0416931	TAA	85
FBtr0255158	TAA	145
FBtr0255155	TAG	63
FBtr0255156	TGA	17
FBtr0416069	TAG	21
FBtr0249479	TAA	47
FBtr0417998	TGA	25
FBtr0241641	TAG	372
FBtr0251502	TGA	19
FBtr0243090	TAA	101
FBtr0421079	TAA	49
FBtr0416354	TAA	49
FBtr0418609	TAG	33
FBtr0245713	TAA	149
FBtr0421757	TAG	129
FBtr0256499	TAA	129
FBtr0417612	TGA	233
FBtr0417446	TGA	291
FBtr0256497	TGA	233
FBtr0256495	TAA	48
FBtr0245715	TAA	133
FBtr0244979	TAA	28
FBtr0244981	TAA	36
FBtr0248491	TAA	53
FBtr0248490	TAG	13
FBtr0248488	TAG	600
FBtr0418552	TGA	151
FBtr0417458	TGA	151
FBtr0248484	TAA	90
FBtr0416085	TGA	66
FBtr0250607	TAA	9
FBtr0249260	TAA	26
FBtr0250609	TAG	113
FBtr0250608	TAG	5
FBtr0252795	TAG	369
FBtr0415894	TAA	142
FBtr0250613	TAA	222
FBtr0250612	TGA	102
FBtr0255398	TGA	32
FBtr0419985	TAA	267
FBtr0420900	TAA	53
FBtr0415848	TAA	161
FBtr0255397	TAA	58
FBtr0241781	TAG	54
FBtr0241780	TAG	1
FBtr0241786	TAA	696
FBtr0420712	TGA	14
FBtr0417366	TGA	14
FBtr0253056	TGA	13
FBtr0253054	TAA	21
FBtr0416298	TAG	140
FBtr0251632	TAG	13
FBtr0251635	TGA	40
FBtr0251636	TAG	20
FBtr0251637	TAA	45
FBtr0251638	TAA	2
FBtr0252216	TAA	413
FBtr0419657	TGA	454
FBtr0252210	TAG	73
FBtr0415953	TGA	125
FBtr0252209	TAA	68
FBtr0253955	TGA	78
FBtr0252218	TAA	12
FBtr0416721	TAA	187
FBtr0418851	TAA	187
FBtr0415660	TAG	99
FBtr0416953	TAA	165
FBtr0417896	TGA	60
FBtr0250424	TAA	114
FBtr0418036	TGA	33
FBtr0418271	TGA	47
FBtr0417501	TAA	111
FBtr0240868	TAA	206
FBtr0240869	TGA	230
FBtr0240870	TAG	190
FBtr0240872	TAG	8
FBtr0240874	TGA	19
FBtr0420515	TGA	30
FBtr0241184	TAA	13
FBtr0241185	TAG	22
FBtr0254165	TGA	230
FBtr0241376	TGA	262
FBtr0420363	TGA	262
FBtr0417928	TAG	150
FBtr0246549	TAA	78
FBtr0253618	TAA	156
FBtr0417547	TAA	85
FBtr0421756	TAG	173
FBtr0419621	TGA	23
FBtr0417245	TGA	4
FBtr0418032	TAA	44
FBtr0420322	TGA	397
FBtr0417970	TGA	106
FBtr0419034	TAA	197
FBtr0419933	TAA	114
FBtr0419180	TAA	76
FBtr0246443	TAA	12
FBtr0418536	TAG	67
FBtr0421644	TAG	67
FBtr0420149	TAA	21
FBtr0416584	TAA	133
FBtr0243657	TAA	133
FBtr0243656	TAA	35
FBtr0243658	TAG	664
FBtr0243653	TAA	100
FBtr0418477	TGA	1
FBtr0243654	TGA	56
FBtr0252397	TAA	140
FBtr0252396	TAA	79
FBtr0252398	TAG	83
FBtr0420379	TAA	92
FBtr0252402	TAA	643
FBtr0420617	TAA	47
FBtr0248199	TAG	22
FBtr0248197	TGA	35
FBtr0247664	TAG	90
FBtr0247667	TAA	169
FBtr0247666	TAA	47
FBtr0418363	TAG	116
FBtr0418163	TAG	127
FBtr0243965	TAG	525
FBtr0243921	TAA	12
FBtr0243913	TAG	188
FBtr0243915	TAA	52
FBtr0243916	TAA	217
FBtr0243919	TAA	7
FBtr0417382	TAG	135
FBtr0255507	TAG	307
FBtr0255506	TAA	451
FBtr0255504	TAA	151
FBtr0255503	TGA	37
FBtr0255502	TGA	117
FBtr0421366	TAA	5
FBtr0420263	TAG	262
FBtr0255510	TAG	78
FBtr0251474	TAG	72
FBtr0416886	TGA	13
FBtr0248399	TAG	365
FBtr0415522	TAG	302
FBtr0248398	TAA	22
FBtr0417996	TAA	101
FBtr0248395	TAA	101
FBtr0420909	TAA	101
FBtr0247419	TAA	17
FBtr0244546	TAG	37
FBtr0418043	TGA	5
FBtr0244551	TGA	63
FBtr0244549	TAA	83
FBtr0416828	TAG	25
FBtr0420352	TAA	220
FBtr0419017	TAA	140
FBtr0242698	TAA	33
FBtr0242694	TAA	96
FBtr0242695	TAG	7
FBtr0242693	TAA	10
FBtr0416415	TGA	72
FBtr0421118	TGA	72
FBtr0415551	TGA	72
FBtr0415713	TGA	72
FBtr0416016	TAA	12
FBtr0418232	TAA	402
FBtr0246148	TAA	15
FBtr0241059	TAA	281
FBtr0249072	TGA	104
FBtr0417308	TGA	104
FBtr0249063	TAG	8
FBtr0248796	TAA	225
FBtr0415640	TAA	225
FBtr0416153	TAA	225
FBtr0420803	TAA	225
FBtr0420907	TAA	225
FBtr0247548	TAA	26
FBtr0242686	TGA	65
FBtr0251468	TAA	49
FBtr0249555	TAA	51
FBtr0244080	TAA	217
FBtr0243766	TAG	51
FBtr0249560	TAA	20
FBtr0418479	TGA	30
FBtr0246176	TGA	85
FBtr0244077	TAG	47
FBtr0420916	TGA	146
FBtr0415734	TAA	33
FBtr0243765	TAA	116
FBtr0419295	TAG	10
FBtr0244072	TAG	60
FBtr0246181	TAA	13
FBtr0244747	TAG	84
FBtr0244745	TAA	67
FBtr0244751	TAA	277
FBtr0244749	TGA	678
FBtr0244753	TGA	38
FBtr0245887	TAA	59
FBtr0421679	TGA	14
FBtr0420845	TAG	491
FBtr0420686	TAG	491
FBtr0242195	TAG	8
FBtr0241724	TAA	5
FBtr0418564	TAA	19
FBtr0252306	TAG	80
FBtr0253390	TAA	552
FBtr0253391	TGA	37
FBtr0253388	TAG	79
FBtr0419914	TAG	109
FBtr0252305	TAG	109
FBtr0241728	TGA	117
FBtr0416525	TGA	27
FBtr0418091	TGA	27
FBtr0419043	TAA	199
FBtr0421186	TAA	199
FBtr0250195	TAA	199
FBtr0417046	TAG	19
FBtr0250196	TGA	208
FBtr0419804	TGA	41
FBtr0247079	TAG	47
FBtr0253738	TAA	28
FBtr0253737	TGA	35
FBtr0250669	TGA	111
FBtr0247080	TGA	25
FBtr0420688	TAA	95
FBtr0253736	TGA	7
FBtr0420192	TAA	32
FBtr0253735	TAA	32
FBtr0253730	TAA	305
FBtr0417029	TAA	25
FBtr0419701	TGA	6
FBtr0255389	TAA	12
FBtr0252612	TAA	294
FBtr0252608	TAA	139
FBtr0241978	TAA	151
FBtr0421127	TAA	7
FBtr0417971	TAA	40
FBtr0241976	TAA	40
FBtr0419526	TAA	40
FBtr0241974	TAG	122
FBtr0241971	TAA	237
FBtr0255385	TAA	92
FBtr0419286	TGA	25
FBtr0418545	TGA	248
FBtr0421795	TGA	134
FBtr0247776	TAA	37
FBtr0244129	TAA	62
FBtr0244125	TAA	22
FBtr0419315	TAA	26
FBtr0244124	TGA	84
FBtr0419961	TGA	84
FBtr0243669	TGA	235
FBtr0253248	TAA	581
FBtr0244131	TAA	172
FBtr0418061	TAA	163
FBtr0251469	TGA	6
FBtr0252793	TAA	140
FBtr0416927	TAA	159
FBtr0417870	TAA	738
FBtr0419442	TAA	738
FBtr0416268	TAA	738
FBtr0241869	TGA	94
FBtr0247651	TGA	336
FBtr0247650	TGA	5
FBtr0417105	TAA	10
FBtr0241577	TAA	10
FBtr0415537	TGA	38
FBtr0247642	TGA	35
FBtr0418648	TAA	54
FBtr0419809	TGA	43
FBtr0419715	TGA	43
FBtr0418001	TGA	43
FBtr0420038	TAA	145
FBtr0416325	TGA	51
FBtr0251163	TAA	136
FBtr0420891	TGA	383
FBtr0247879	TAA	14
FBtr0247877	TAA	8
FBtr0420097	TAA	17
FBtr0247873	TGA	92
FBtr0251161	TGA	30
FBtr0247881	TGA	145
FBtr0256308	TAG	167
FBtr0247226	TGA	64
FBtr0247220	TGA	48
FBtr0256309	TAA	388
FBtr0419759	TAA	9
FBtr0416954	TAA	1
FBtr0251714	TAA	76
FBtr0251712	TAA	422
FBtr0256304	TAA	22
FBtr0251717	TGA	127
FBtr0421084	TGA	62
FBtr0254901	TAG	159
FBtr0420723	TAG	92
FBtr0419419	TAG	44
FBtr0417555	TAG	357
FBtr0417353	TAG	30
FBtr0248135	TGA	30
FBtr0418331	TGA	30
FBtr0248138	TGA	128
FBtr0248139	TGA	18
FBtr0248136	TGA	48
FBtr0255179	TAG	47
FBtr0255180	TAG	4
FBtr0248140	TAG	37
FBtr0416816	TAA	338
FBtr0243064	TAA	79
FBtr0416219	TAG	48
FBtr0256515	TGA	4
FBtr0255977	TAA	112
FBtr0255976	TGA	80
FBtr0420659	TGA	38
FBtr0417660	TAA	25
FBtr0255975	TAA	116
FBtr0247329	TGA	98
FBtr0417746	TAA	84
FBtr0418485	TAG	13
FBtr0255658	TAG	43
FBtr0417774	TGA	25
FBtr0248468	TAG	71
FBtr0248471	TAA	272
FBtr0248470	TAA	616
FBtr0250628	TAG	50
FBtr0250630	TGA	72
FBtr0250624	TGA	44
FBtr0250632	TAA	39
FBtr0256449	TAG	28
FBtr0256448	TAA	24
FBtr0256447	TAG	48
FBtr0256444	TAA	8
FBtr0256443	TAA	244
FBtr0416487	TAA	41
FBtr0256450	TAG	77
FBtr0241281	TAA	129
FBtr0419446	TAA	23
FBtr0245003	TAA	78
FBtr0420009	TGA	216
FBtr0244996	TGA	103
FBtr0244995	TGA	92
FBtr0249940	TAG	194
FBtr0249937	TAA	66
FBtr0249936	TAA	87
FBtr0251618	TAA	78
FBtr0419365	TAA	40
FBtr0251610	TGA	5
FBtr0251616	TGA	186
FBtr0417337	TAA	426
FBtr0251613	TAA	426
FBtr0251614	TAA	69
FBtr0418260	TAA	8
FBtr0249542	TAG	1
FBtr0417748	TAG	436
FBtr0249537	TGA	1
FBtr0420602	TAG	18
FBtr0253183	TAG	303
FBtr0241156	TAG	37
FBtr0253181	TAA	29
FBtr0249678	TAA	38
FBtr0240854	TGA	72
FBtr0420308	TAG	73
FBtr0240849	TAA	84
FBtr0240847	TGA	175
FBtr0420315	TGA	37
FBtr0240851	TGA	87
FBtr0419975	TAA	18
FBtr0251138	TAA	92
FBtr0251140	TGA	28
FBtr0251141	TAA	327
FBtr0241286	TAG	27
FBtr0246612	TAA	100
FBtr0419997	TAG	32
FBtr0418511	TGA	26
FBtr0416438	TAA	90
FBtr0420481	TAA	93
FBtr0246609	TAA	53
FBtr0252198	TAA	16
FBtr0252195	TAA	58
FBtr0420773	TGA	13
