RPS20
RPL18
RPS19
RPS13
RPS12
RPS15
EIF3K
RPL27
RPL8
RPL21
RPS3A
RPLP2
RPL10A
RPS2
RPL35
RPL15
EIF3I
RPLP1
RPL12
MCTS1
RPL11
RACK1
RPS6
EIF3L
RPL24
MCTS2
RPL36
RPL34
RPL32
RPS27A
RPS7
RPL31
RPS18
SYNCRIP
RPL13A
RPL36A
RPL29
RBM24
RPL27A
FAU
RPS25
RBM4
RPL28
RPS15A
RPL13
RPL17
RPL26
RPL38
UBA52
RPS5
RPS10
RPL19
EIF3E
MRPL43
MRPL47
MRPL23
MTERF4
MRPS22
MRPS28
MRPL52
