Gene
RPS20
RPL18
RPS19
RPS13
YBX3
RPS12
RPS15
EIF3K
RPL27
RPL8
RPL21
RPS3A
RPLP2
RPL10A
RPS2
RPS10
RPL35
HNRNPD
RPL15
EIF3I
RPLP1
RPS24
RPL12
MCTS1
RPL11
RACK1
RPS6
EIF3L
RPL24
RPL23
MCTS2
RPL36
RPL34
RPL32
EIF3B
RPS27A
RPS7
RPL31
DRG1
RPL35A
YBX1
RPS18
RPL37A
SYNCRIP
DRG2
RPL13A
RPL36A
FMR1
RPL29
HNRNPU
RBM24
RPS23
EIF3E
PABPC1
RPL27A
FAU
RPS3
RPS25
EIF3M
RBM4
METTL3
RPL28
RPS15A
RPL13
IMPACT
RPL17
RPL26
RPL38
EIF3G
UBA52
RPS5
RPS16
RPS28
EIF3F
AARS1
EIF4G1
RPL19
RPSA
YBX2
EXOSC8
MSI1
C6orf52
PNPT1
ROCK2
PNLDC1
MSI2
ENC1
METTL18
ZNF706
AKT2
DAZ3
TCOF1
CELF4
OGFOD1
RMND1
EIF5A
KLHL25
FOXO3
EIF2B4
TNKS1BP1
CELF1
QKI
SRP9
RPS6KA1
OGT
UQCC2
RBM3
DAZ4
DAZ2
GRB7
RC3H2
IL6
DAZ1
PTCD3
EIF4E2
EPHA4
CNOT10
TSFM
LRPPRC
IGF2BP2
GIGYF2
RPUSD3
EIF2AK1
MLH1
CNOT9
BOLL
LSM14A
ELP6
POLDIP3
EIF4ENIF1
NT5C3B
ERBB2
METTL8
EIF6
GRM5
PIWIL2
CAPRIN2
EIF2A
SELENOT
EIF5A2
TIA1
FXR1
DNAJC1
TARDBP
PUM1
XRN1
DAPK1
RPS6KB1
PLEKHN1
EXOSC2
TNRC6A
DCP2
SEPSECS
METAP1
DHFR
ABCE1
GUF1
ELP3
CNOT8
LARP1
MRPS27
LSM1
RBM4B
POLR2G
RPS6KB2
EIF4G2
MKNK1
PIWIL3
PARN
ELP2
DDX3X
EIF4B
CNOT2
PA2G4
SARNP
MAPKAPK5
ALKBH1
EIF2S1
EIF2B2
DIO2
CNOT1
TRAP1
ELP5
SHMT1
PER1
MKNK2
SHFL
CIRBP
DUS3L
APLP1
ELAVL1
KHSRP
METTL14
BZW2
FTO
ELP4
TSC1
CSNK2A1
EIF2B5
EIF2AK2
EIF2AK3
HSPB1
TRIM2
ELP1
NCL
DDX1
EXOSC3
NPM1
EIF4G3
LARP4B
RBM8A
PPP1R15B
TNF
MTIF3
COPS5
EIF2B1
LTO1
MTFMT
