geneID
IFRD1
CEACAM1
ADCY10
LMX1A
CRABP2
G6PD
ST7L
FHL1
MEAF6
SLC9A1
RASGRP2
MAP2
DDR1
PRR5
IP6K2
MECP2
MAP3K13
SGK2
EIF4G1
RPS6KA3
SEMA4C
HYAL1
RIMS1
PPP2R1A
NRP1
HNF4A
ARHGAP4
BRCA1
BAP1
HDAC6
TP53
KAT7
SPP1
SEMA6A
SLIT2
JADE2
RICTOR
CCAR2
RIMS2
PRDM11
NRG3
IST1
SMARCA4
CYP27B1
TGFBR1
ACVRL1
MMP14
UNC13A
AKT1
SMAD3
SEMA6D
SIN3A
SYT17
PAFAH1B1
STK11
DNM2
SMAD4
HDGFL2
SEMA3B
BDKRB1
EBAG9
RACK1
GDI1
FOXP1
ITCH
AGT
AGTR2
MTOR
AK1
MPP1
DLG1
DLG2
ENTPD4
GUK1
NUDT9
DTYMK
AK3
ENTPD3
CMPK2
UMPS
LRGUK
AVIL
NRG1
SPTBN2
NLRC3
RAP1B
BAX
CDK5RAP2
SELP
MPP7
HCK
ELN
LCMT1
BCL2L11
FES
PEX5
MAPRE3
DAAM2
CYRIA
SIRT2
CAPG
DCTN1
HAX1
SLAIN1
CDH17
KIF9
ARHGEF5
NCK1
SAR1B
PAK3
STMN2
CARD8
RPS3
AMBRA1
ATM
NEK7
TWF1
WARS1
BMF
STUB1
PLCG2
CORO1A
TBCD
KANK2
TUBB4A
NOP53
SPTBN4
CYFIP2
FER
STXBP1
SPTAN1
RALB
GFAP
DYRK1A
CRACD
PYDC5
TIRAP
AKT3
AKT1S1
ALS2
GNB3
AQP4
TSC1
ATP13A2
CLCN3
IL7R
PICALM
BORCS5
CFL2
SLC12A6
SLC12A3
BLOC1S2
LRRC8E
KXD1
SLC12A5
SLC12A2
SHANK3
GAS2L3
FMR1
TRIM36
SKA1
TOGARAM2
RABGAP1
KIF1A
CACYBP
CFAP144
MX1
MID1
CCDC66
TTLL13
NME8
DST
CEP70
DCX
APC
NCALD
CEP57L1
KIF13B
GPAA1
GLI1
TBCEL
BRCA2
FNTA
GABARAPL1
DYNC1I1
KIF6
CEP57
CCDC181
RACGAP1
DNM1L
NEDD1
DNAI7
DNAL1
KATNBL1
KIFC3
TTBK2
SLC6A2
SAXO2
GABARAP
BCAS3
CEP295NL
RAD51D
CCDC61
TTLL7
TPR
TBCB
GAS2
MTUS1
DCLK2
EFHC1
HOOK1
NME9
N4BP2
CLP1
PNKP
SCN5A
PTPRC
SLC8A1
PLEC
KCNQ2
CACNA1D
RHAG
STX16
PEX3
ANK3
SPSB1
PRAME
CUL1
IKBKG
MEN1
A1CF
SORBS2
GNB1
AP1S3
WDR77
DGCR8
NMD3
SYNE1
TRIM17
SEC22A
DDX4
G3BP2
STX18
BANK1
JCHAIN
GAB1
TRIM6
G3BP1
TRDN
CBX5
SYNE2
BFAR
LAT
HERPUD1
ADAP2
AP2B1
BECN1
PIH1D1
MAP2K2
NUP62
DCAF7
SNAP23
SQSTM1
TARDBP
GRB10
GNB4
HNRNPA1
AP2A2
TNNT3
UTRN
EPB41L1
CACNB2
CTNNA2
TTN
ARPC1B
MYL3
SMTN
MYRIP
CCR5
TNNT2
GCSAM
DIAPH3
RUSC1
MAEA
ABLIM3
RAI14
SNTG1
MTSS1
EPB41L2
TBC1D21
ACTN1
CORO1C
PLEKHG3
UACA
TPM1
BLOC1S6
MYL4
WIPF2
FMNL1
TNNI3
MYH14
SYNPO2
PLS3
CORO1B
SHROOM3
ABLIM1
XIRP2
INF2
MYO5A
IQGAP2
MYLK
PMS1
MSH6
RAD51C
MLH1
MSH3
PMS2
NEK6
STAM
PYHIN1
CASP8
TRIB2
MAGEA2
CTNNB1
PRKACB
TRIB3
PAX6
TPI1
HSPA9
DERL1
RELA
TNFRSF1B
PCBP2
CKB
DIO2
ATXN3
NAE1
ACTG1
CDK5RAP3
PIAS2
ZNF675
PPARGC1A
POLR2A
USP13
EGR2
CD40
UBE2T
