Gene
RPS20
RPL18
RPS19
RPS13
RPS12
RPS15
RPL27
RPL8
RPL21
RPS3A
RPLP2
RPL10A
RPS2
RPS10
RPL35
RPL15
RPLP1
RPS24
RPL12
RPL11
RACK1
RPS6
LTN1
RPL24
RPL23
RPL36
RPL34
RPL32
RPS27A
RPS7
RPL31
RPL35A
RPS18
RPL37A
EIF2A
RPL13A
RPL36A
RPL29
ABCE1
RPS23
RPL27A
FAU
RPS3
RPS25
RNF10
RPL28
RPS15A
RPL13
RPL17
RPL26
RPL38
UBA52
RPS5
RPS16
RPS28
RPL19
RPSA
MRPL11
MRPS5
MRPL42
MRPL19
MRPL43
MRPL23
MRPL47
PTCD3
MTERF4
MRPS2
MRPL9
MRPS22
MRPL27
MRPS18C
MRPL22
MRPS28
MRPS27
MRPL49
MRPL21
MRPL52
MRPS7
MRPL4
NPM1
MRPS25
PNPT1
SF1
RRBP1
LARP1
EIF2AK2
FUBP3
LARP4B
