Gene
RPS20
RPL18
RPS19
RPS13
RPS12
RPS15
RPL27
RPL8
RPL21
RPS3A
RPLP2
RPL10A
MRPL11
RPS2
RPS10
MRPS5
RPL35
RPL15
RPLP1
MRPL42
MRPL19
RPS24
RPL12
MRPL43
RPL11
RPS6
MRPL23
MRPL47
RPL24
RPL23
RPL36
RPL34
RPL32
RPS27A
RPS7
RPL31
RPL35A
RPS18
RPL37A
MRPS2
RPL13A
RPL36A
RPL29
MRPL9
MRPS22
MRPL27
MRPS18C
RPS23
MRPL22
RPL27A
FAU
RPS3
RPS25
MRPL49
MRPL21
MRPL52
RPL28
RPS15A
RPL13
RPL17
MRPS7
RPL26
RPL38
MRPL4
UBA52
RPS5
RPS16
RPS28
RPL19
MRPS25
RPSA
